Ticker,MarketCap,Pointer
ADBE,2.17186E+11,25
LIN,2.23763E+11,29
TMO,2.28016E+11,27
PEP,2.3554E+11,26
CVX,2.72473E+11,24
CRM,2.75295E+11,28
MRK,2.76472E+11,22
KO,2.99536E+11,20
NFLX,3.09736E+11,23
BAC,3.1081E+11,21
ABBV,3.40312E+11,19
JNJ,3.85616E+11,15
PG,3.96984E+11,14
COST,3.99635E+11,17
HD,4.0907E+11,18
MA,4.56641E+11,13
ORCL,4.8722E+11,16
XOM,5.40648E+11,12
UNH,5.4104E+11,11
V,5.46486E+11,10
JPM,6.05393E+11,9
WMT,6.43743E+11,8
TSLA,7.83549E+11,7
LLY,8.71541E+11,6
META,1.49001E+12,5
AMZN,1.9335E+12,4
GOOG,1.9942E+12,3
MSFT,3.1134E+12,1
NVDA,3.26973E+12,2
AAPL,3.46897E+12,0
